action_id,entity_id,recommended_move,owner,effort,expected_margin_lift_pts,revenue_at_risk,launch_readiness,next_artifact
ACT-SKU001,SKU001,Monitor in quarterly review,Operations,Medium,7.5,90818.83,65,Variant map
ACT-SKU002,SKU002,Monitor in quarterly review,Product,Medium,1.4,119258.58,60,Sell sheet
ACT-SKU003,SKU003,Simplify stocked options,Marketing,Medium,1.6,35409.75,65,Cut sheet
ACT-SKU004,SKU004,Monitor in quarterly review,Engineering,Low,2.2,39255.43,75,Sell sheet
ACT-SKU005,SKU005,Improve cost or pricing,Engineering,Medium,9.0,29997.54,55,Field survey
ACT-SKU006,SKU006,Improve cost or pricing,Engineering,Medium,9.4,43116.75,59,Cost review
ACT-SKU007,SKU007,Run launch readiness review,Marketing,Low,5.5,43713.38,69,Variant map
ACT-SKU008,SKU008,Improve cost or pricing,Product,Low,9.4,42100.8,52,Variant map
ACT-SKU009,SKU009,Improve cost or pricing,Marketing,Low,9.4,82103.91,65,Field survey
ACT-SKU010,SKU010,Improve cost or pricing,Product,High,8.1,188023.57,42,Sales FAQ
ACT-SKU011,SKU011,Monitor in quarterly review,Sales,Medium,7.4,118053.94,66,Sales FAQ
ACT-SKU012,SKU012,Simplify stocked options,Engineering,Medium,5.7,194825.13,61,Cut sheet
ACT-SKU013,SKU013,Monitor in quarterly review,Engineering,Medium,1.2,119286.83,60,Sales FAQ
ACT-SKU014,SKU014,Monitor in quarterly review,Marketing,Low,1.5,229559.68,65,Cut sheet
ACT-SKU015,SKU015,Monitor in quarterly review,Product,Low,5.8,50643.99,70,Variant map
ACT-SKU016,SKU016,Monitor in quarterly review,Product,Medium,1.2,128309.5,62,Variant map
ACT-SKU017,SKU017,Monitor in quarterly review,Product,Medium,1.2,56475.77,61,Cut sheet
ACT-SKU018,SKU018,Monitor in quarterly review,Marketing,Medium,6.3,146700.9,66,Field survey
ACT-SKU019,SKU019,Simplify stocked options,Engineering,High,2.0,83938.52,54,Variant map
ACT-SKU020,SKU020,Improve cost or pricing,Marketing,Medium,9.4,50717.08,60,Sell sheet
ACT-SKU021,SKU021,Improve cost or pricing,Engineering,High,9.4,188308.47,63,Cut sheet
ACT-SKU022,SKU022,Monitor in quarterly review,Sales,High,1.2,51888.24,54,Field survey
ACT-SKU023,SKU023,Prune redundant variants,Operations,High,3.0,220355.08,60,Sales FAQ
ACT-SKU024,SKU024,Simplify stocked options,Marketing,High,1.2,95152.33,63,Sell sheet
ACT-SKU025,SKU025,Simplify stocked options,Marketing,Medium,1.5,91080.09,66,Sell sheet
ACT-SKU026,SKU026,Simplify stocked options,Product,Low,1.5,93934.36,72,Variant map
ACT-SKU027,SKU027,Monitor in quarterly review,Marketing,High,4.0,251413.1,58,Variant map
ACT-SKU028,SKU028,Monitor in quarterly review,Marketing,Medium,5.6,80496.53,72,Sell sheet
ACT-SKU029,SKU029,Monitor in quarterly review,Sales,Medium,2.9,21060.17,67,Cost review
ACT-SKU030,SKU030,Run launch readiness review,Marketing,High,1.2,39215.77,60,Cost review
ACT-SKU031,SKU031,Improve cost or pricing,Engineering,Medium,9.3,127548.81,59,Field survey
ACT-SKU032,SKU032,Monitor in quarterly review,Sales,Medium,1.2,151731.77,55,Sales FAQ
ACT-SKU033,SKU033,Improve cost or pricing,Engineering,Low,9.4,63882.96,75,Sales FAQ
ACT-SKU034,SKU034,Monitor in quarterly review,Sales,Medium,4.6,83790.94,56,Variant map
ACT-SKU035,SKU035,Monitor in quarterly review,Engineering,Medium,1.2,32403.0,64,Variant map
ACT-SKU036,SKU036,Simplify stocked options,Marketing,High,6.8,136764.87,57,Cut sheet
ACT-SKU037,SKU037,Monitor in quarterly review,Operations,Medium,1.2,36484.75,58,Cost review
ACT-SKU038,SKU038,Monitor in quarterly review,Product,Medium,3.7,62441.35,61,Sell sheet
ACT-SKU039,SKU039,Monitor in quarterly review,Product,Medium,1.2,86299.29,68,Sales FAQ
ACT-SKU040,SKU040,Simplify stocked options,Product,Medium,1.2,38056.86,62,Cut sheet
