entity_id,period_day,booked_revenue,orders,margin_pct,quality_score,lead_time_days,risk_score
SKU001,1,1176.48,2.9,0.349,67.6,27,49.6
SKU001,2,2464.07,3.6,0.36,67.1,20,53.3
SKU001,3,2305.38,4.6,0.356,70.7,28,52.8
SKU001,4,1810.93,4.9,0.322,67.5,20,45.0
SKU001,5,1586.46,4.8,0.329,65.0,21,55.5
SKU001,6,2317.04,2.5,0.361,70.1,28,48.7
SKU001,7,1779.43,4.0,0.343,63.3,25,50.6
SKU001,8,2025.49,5.2,0.331,61.2,27,58.5
SKU001,9,2360.39,2.8,0.344,65.5,26,44.3
SKU001,10,1398.13,1.9,0.34,64.1,25,41.7
SKU001,11,1151.26,2.1,0.316,60.0,22,49.9
SKU001,12,1221.46,5.0,0.34,66.2,19,44.8
SKU001,13,1216.91,3.9,0.337,70.7,23,51.6
SKU001,14,1958.85,4.7,0.351,61.6,25,59.3
SKU001,15,1571.12,2.3,0.32,65.1,22,56.5
SKU001,16,1576.08,2.0,0.3,61.9,22,46.1
SKU001,17,2597.36,1.0,0.363,60.5,27,54.8
SKU001,18,1849.18,4.1,0.348,64.4,21,53.6
SKU001,19,2636.98,1.8,0.334,61.5,27,51.1
SKU001,20,1601.75,5.4,0.345,68.8,22,42.3
SKU001,21,2360.96,1.6,0.367,64.4,21,53.0
SKU001,22,1621.72,4.5,0.353,69.8,27,45.0
SKU001,23,2341.32,3.1,0.354,59.6,23,43.9
SKU001,24,2280.06,4.7,0.334,62.1,22,59.7
SKU001,25,2433.77,2.2,0.36,65.9,30,46.4
SKU001,26,2265.61,1.7,0.371,66.2,24,44.7
SKU001,27,2401.35,1.6,0.335,63.7,22,53.7
SKU001,28,2319.35,3.7,0.328,64.3,32,59.0
SKU001,29,2445.92,1.9,0.351,64.4,22,56.3
SKU001,30,1636.14,3.6,0.36,70.6,24,57.8
SKU001,31,2128.69,2.6,0.335,66.4,23,51.6
SKU001,32,2002.94,2.7,0.314,68.8,25,48.9
SKU001,33,2589.55,4.9,0.338,62.2,25,46.0
SKU001,34,1191.15,3.3,0.361,60.7,24,47.0
SKU001,35,2271.96,2.0,0.35,68.9,24,48.0
SKU001,36,1307.9,3.1,0.34,68.6,27,42.2
SKU001,37,2430.08,3.0,0.334,67.4,20,48.8
SKU001,38,2295.8,5.0,0.349,69.1,26,47.4
SKU001,39,1590.22,1.3,0.341,62.9,22,45.5
SKU001,40,2298.97,1.6,0.364,59.3,22,50.1
SKU001,41,1603.97,5.1,0.362,68.4,21,43.3
SKU001,42,1902.18,2.2,0.344,66.7,29,49.3
SKU001,43,1282.43,2.3,0.344,68.2,27,59.2
SKU001,44,2167.25,1.4,0.372,61.4,23,51.8
SKU001,45,2071.42,4.3,0.345,60.6,23,47.2
SKU001,46,2139.87,4.7,0.346,61.1,26,60.2
SKU001,47,1400.65,3.5,0.35,66.1,23,59.0
SKU001,48,1736.44,4.3,0.326,70.2,25,44.9
SKU001,49,1386.56,0.8,0.342,64.4,24,46.9
SKU001,50,1559.89,3.6,0.331,62.1,19,50.9
