rank,entity_id,entity_name,category,lifecycle,rationalization_score,annual_revenue,gross_margin_pct,active_skus,order_velocity,recommended_move,expected_margin_lift_pts,launch_readiness
1,SKU023,Acoustic Baffles Family 3,Acoustic Baffles,Mature,76.2,520523.82,0.39,60,11.4,Prune redundant variants,3.0,60
2,SKU006,Suspended Linear Family 1,Suspended Linear,Decline,66.8,116182.86,0.317,47,14.7,Improve cost or pricing,9.4,59
3,SKU025,Acoustic Baffles Family 5,Acoustic Baffles,Launch,66.8,245425.39,0.405,59,14.9,Simplify stocked options,1.5,66
4,SKU021,Acoustic Baffles Family 1,Acoustic Baffles,Core,64.9,522273.12,0.317,50,16.6,Improve cost or pricing,9.4,63
5,SKU011,Architectural Downlights Family 1,Architectural Downlights,Decline,63.2,336229.57,0.346,44,7.9,Monitor in quarterly review,7.4,66
6,SKU020,Acoustic Pendants Family 5,Acoustic Pendants,Growth,61.8,147719.66,0.321,42,28.2,Improve cost or pricing,9.4,60
7,SKU012,Architectural Downlights Family 2,Architectural Downlights,Mature,59.9,585451.14,0.363,44,14.2,Simplify stocked options,5.7,61
8,SKU040,Controls Ready Kits Family 5,Controls Ready Kits,Mature,58.0,118107.51,0.412,46,16.9,Simplify stocked options,1.2,62
9,SKU022,Acoustic Baffles Family 2,Acoustic Baffles,Mature,57.3,162999.72,0.472,39,10.8,Monitor in quarterly review,1.2,54
10,SKU008,Suspended Linear Family 3,Suspended Linear,Growth,57.0,132949.91,0.318,46,21.5,Improve cost or pricing,9.4,52
11,SKU027,Healthcare Luminaires Family 2,Healthcare Luminaires,Core,56.7,798136.81,0.38,45,16.8,Monitor in quarterly review,4.0,58
12,SKU010,Suspended Linear Family 5,Suspended Linear,Core,53.7,630246.59,0.339,43,23.0,Improve cost or pricing,8.1,42
13,SKU033,Contractor Packages Family 3,Contractor Packages,Core,53.2,216145.37,0.267,44,31,Improve cost or pricing,9.4,75
14,SKU030,Healthcare Luminaires Family 5,Healthcare Luminaires,Launch,53.1,132934.81,0.485,45,17.3,Run launch readiness review,1.2,60
15,SKU001,Recessed Linear Family 1,Recessed Linear,Core,52.9,309024.39,0.345,31,16.3,Monitor in quarterly review,7.5,65
16,SKU037,Controls Ready Kits Family 2,Controls Ready Kits,Mature,50.2,130821.82,0.424,43,19.2,Monitor in quarterly review,1.2,58
17,SKU039,Controls Ready Kits Family 4,Controls Ready Kits,Core,50.1,310057.33,0.426,56,19.3,Monitor in quarterly review,1.2,68
18,SKU005,Recessed Linear Family 5,Recessed Linear,Launch,49.6,108862.03,0.33,27,16.2,Improve cost or pricing,9.0,55
